,type_of_food,postcode,count
0,*NEW*,4LR,2
1,*NEW*,8HT,1
2,Afghan,8SF,3
3,Afghan,1WB,2
4,Afghan,5AN,2
5,Afghan,6PQ,2
6,Afghan,7DY,2
7,Afghan,9AU,2
8,Afghan,4DG,1
9,Afghan,4SE,1
10,African,1HR,3
11,African,6PT,3
12,African,8JN,3
13,African,0LB,2
14,African,1AL,2
15,African,2BY,2
16,African,6RU,2
17,African,7SJ,2
18,African,9HJ,2
19,African,0PD,1
20,African,1PG,1
21,African,5DJ,1
22,African,5LQ,1
23,American,6NW,4
24,American,2SB,3
25,American,4EZ,3
26,American,0JA,2
27,American,1QQ,2
28,American,2EA,2
29,American,3AE,2
30,American,3NH,2
31,American,3NS,2
32,American,4JU,2
33,American,4NH,2
34,American,4NQ,2
35,American,4RQ,2
36,American,5AD,2
37,American,5NN,2
38,American,5PD,2
39,American,6BB,2
40,American,6LA,2
41,American,6QS,2
42,American,6RN,2
43,American,6WE,2
44,American,7DY,2
45,American,7NS,2
46,American,0RB,1
47,American,1EB,1
48,American,1EW,1
49,American,1JN,1
50,American,1LW,1
51,American,1NS,1
52,American,1QG,1
53,American,1RQ,1
54,American,1SZ,1
55,American,2AU,1
56,American,2LY,1
57,American,2RB,1
58,American,2SE,1
59,American,3EY,1
60,American,3JQ,1
61,American,3PB,1
62,American,4AT,1
63,American,4BJ,1
64,American,4HB,1
65,American,4QJ,1
66,American,5BW,1
67,American,5DW,1
68,American,5DX,1
69,American,6AA,1
70,American,6AY,1
71,American,6BD,1
72,American,6FP,1
73,American,6NJ,1
74,American,6NP,1
75,American,6QN,1
76,American,6RT,1
77,American,6UN,1
78,American,7BE,1
79,American,7DB,1
80,American,8DX,1
81,American,8EY,1
82,American,8JD,1
83,American,8LN,1
84,American,8LX,1
85,American,8UA,1
86,American,8UG,1
87,American,9EA,1
88,American,9EX,1
89,American,9LA,1
90,American,9LQ,1
91,Arabic,0QN,2
92,Arabic,4HR,2
93,Arabic,1JB,1
94,Arabic,1JY,1
95,Arabic,3NS,1
96,Arabic,4AN,1
97,Arabic,4QP,1
98,Azerbaijan,9BT,4
99,Azerbaijan,9NH,2
100,Bagels,8DS,3
101,Bangladeshi,9QW,3
102,Bangladeshi,1AJ,2
103,Bangladeshi,9DJ,2
104,Bangladeshi,1UU,1
105,Bangladeshi,3DU,1
106,Bangladeshi,3SW,1
107,Bangladeshi,4AF,1
108,Bangladeshi,4DA,1
109,Bangladeshi,4EH,1
110,Bangladeshi,5SD,1
111,Bangladeshi,5XL,1
112,Bangladeshi,7LW,1
113,Bangladeshi,8PE,1
114,Bangladeshi,9QS,1
115,Breakfast,0EP,1
116,Breakfast,0RH,1
117,Breakfast,2NY,1
118,Breakfast,2SF,1
119,Breakfast,3HD,1
120,Breakfast,7RL,1
121,Breakfast,8DG,1
122,Burgers,3JD,3
123,Burgers,1HX,2
124,Burgers,1SU,2
125,Burgers,5HZ,2
126,Burgers,7EE,2
127,Burgers,7HN,2
128,Burgers,0PA,1
129,Burgers,1DQ,1
130,Burgers,1DT,1
131,Burgers,1GF,1
132,Burgers,1QL,1
133,Burgers,2AR,1
134,Burgers,3AY,1
135,Burgers,3RS,1
136,Burgers,6RN,1
137,Burgers,7BL,1
138,Burgers,8AF,1
139,Cakes,1BW,1
140,Caribbean,8RZ,6
141,Caribbean,0DD,3
142,Caribbean,6EG,3
143,Caribbean,7AU,3
144,Caribbean,1DW,2
145,Caribbean,2LP,2
146,Caribbean,2QP,2
147,Caribbean,4HG,2
148,Caribbean,4JZ,2
149,Caribbean,5JD,2
150,Caribbean,6NQ,2
151,Caribbean,6SE,2
152,Caribbean,8LF,2
153,Caribbean,8PU,2
154,Caribbean,9HS,2
155,Caribbean,1HR,1
156,Caribbean,1TF,1
157,Caribbean,1UY,1
158,Caribbean,2HY,1
159,Caribbean,2NQ,1
160,Caribbean,4JU,1
161,Caribbean,7AB,1
162,Caribbean,7LL,1
163,Caribbean,7PT,1
164,Chicken,1BS,3
165,Chicken,2EZ,3
166,Chicken,5DP,3
167,Chicken,7AY,3
168,Chicken,9AU,3
169,Chicken,1RJ,2
170,Chicken,3BT,2
171,Chicken,3GP,2
172,Chicken,5AE,2
173,Chicken,5SD,2
174,Chicken,6FB,2
175,Chicken,6TW,2
176,Chicken,7AB,2
177,Chicken,7JX,2
178,Chicken,9SE,2
179,Chicken,0AD,1
180,Chicken,1AP,1
181,Chicken,1AY,1
182,Chicken,1EU,1
183,Chicken,1HP,1
184,Chicken,1JG,1
185,Chicken,1LA,1
186,Chicken,1PF,1
187,Chicken,2AU,1
188,Chicken,2EP,1
189,Chicken,4AA,1
190,Chicken,4BY,1
191,Chicken,4HG,1
